idx,treespec,prod_wd,bark,Country,2021 ,2018 ,2015 ,2012 ,2009 ,2006 ,2003 ,2000 ,1997 ,1994 ,1991 ,1988 
"A,CONIF,RW_IN,THS_M3,OVBK,IS",CONIF,RW_IN,OVBK,IS,1.4,1.0,,2.99,,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,IT",CONIF,RW_IN,OVBK,IT,,1449.22,1714.86,1553.04,1579.85,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,LI",CONIF,RW_IN,OVBK,LI,3.35,8.79,4.79,7.0,9.0,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,LT",CONIF,RW_IN,OVBK,LT,3519.95,3666.0,3062.08,3309.26,2396.2,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,LU",CONIF,RW_IN,OVBK,LU,205.16,280.15,183.94,122.31,124.33,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,LV",CONIF,RW_IN,OVBK,LV,9527.1,8755.47,8850.31,6644.15,7299.19,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,MT",CONIF,RW_IN,OVBK,MT,,0.0,,0.0,0.0,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,NL",CONIF,RW_IN,OVBK,NL,554.54,577.97,661.0,546.5,599.65,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,NO",CONIF,RW_IN,OVBK,NO,12268.6,12693.15,10991.47,9582.47,7181.03,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,PL",CONIF,RW_IN,OVBK,PL,34586.0,36904.91,31038.69,27591.4,26019.73,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,PT",CONIF,RW_IN,OVBK,PT,4430.85,5587.26,3846.83,0.0,4559.26,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,RO",CONIF,RW_IN,OVBK,RO,6138.93,5179.66,5257.18,5843.93,4739.7,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,SE",CONIF,RW_IN,OVBK,SE,76053.74,69730.38,76520.0,71767.0,61765.0,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,SI",CONIF,RW_IN,OVBK,SI,1989.2,3606.36,3177.78,1847.88,1631.56,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,SK",CONIF,RW_IN,OVBK,SK,4229.7,6356.36,4867.0,4547.65,6574.3,,,,,,,
"A,CONIF,RW_IN,THS_M3,OVBK,UK",CONIF,RW_IN,OVBK,UK,,9580.85,9528.36,9712.38,8418.4,,,,,,,
"A,CONIF,RW_IN,THS_M3,UNBK,AT",CONIF,RW_IN,UNBK,AT,12670.52,12821.0,11571.48,11936.75,11343.93,13514.0,12774.0,9606.0,10917.0,10665.0,,
"A,CONIF,RW_IN,THS_M3,UNBK,BE",CONIF,RW_IN,UNBK,BE,,3135.61,3135.61,3069.6,2800.0,3375.0,3175.0,2780.0,,,,
"A,CONIF,RW_IN,THS_M3,UNBK,BG",CONIF,RW_IN,UNBK,BG,2228.38,2623.75,2427.53,1821.86,1077.0,1855.0,1277.5,1293.5,864.0,858.0,,
"A,CONIF,RW_IN,THS_M3,UNBK,CH",CONIF,RW_IN,UNBK,CH,2575.25,2814.03,2312.11,2506.22,2848.37,3736.59,3300.0,6793.0,2774.0,3214.0,,
"A,CONIF,RW_IN,THS_M3,UNBK,CY",CONIF,RW_IN,UNBK,CY,2.83,1.86,2.72,4.05,4.93,4.06,7.23,14.57,30.1,34.1,,
"A,CONIF,RW_IN,THS_M3,UNBK,CZ",CONIF,RW_IN,UNBK,CZ,,20613.0,12871.0,11860.0,12888.0,15298.0,12970.0,12191.0,11529.0,10469.0,,
"A,CONIF,RW_IN,THS_M3,UNBK,DE",CONIF,RW_IN,UNBK,DE,55269.56,46124.61,36740.47,33935.66,32531.04,45213.0,36413.0,41774.0,29495.0,28193.0,,
"A,CONIF,RW_IN,THS_M3,UNBK,DK",CONIF,RW_IN,UNBK,DK,,,1248.0,1194.83,1299.0,1060.0,687.59,2192.0,1274.0,1307.0,,
"A,CONIF,RW_IN,THS_M3,UNBK,EE",CONIF,RW_IN,UNBK,EE,4447.27,5095.45,4381.36,3627.0,2758.5,2900.0,5900.0,4980.0,3015.0,1668.0,,
